,host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
0,2011.0,0,1.0,1,0,Circle C,House,Private room,6,2.5,1.0,3.0,Real Bed,17,300.0,1,0.0,2,1,0,0,0,240,1,0,moderate
1,2015.0,0,1.0,1,1,Circle C,Camper/RV,Private room,2,0.0,1.0,1.0,Futon,6,99.0,1,0.0,3,1,29,59,89,364,0,0,moderate
5,2015.0,0,1.0,1,0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,15,100.0,1,0.0,1,1,30,60,90,365,0,0,flexible
7,2014.0,0,1.0,1,1,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,18,40.0,2,10.0,1,1,16,16,37,312,2,1,moderate
10,2015.0,0,1.0,1,0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,12,99.0,2,0.0,2,1,29,59,89,364,0,0,strict
12,2013.0,1,9.0,1,1,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,19,49.0,1,0.0,2,1,25,55,85,360,4,0,strict
13,2013.0,1,9.0,1,1,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,18,50.0,1,20.0,3,1,29,59,89,364,7,0,strict
14,2011.0,1,12.0,1,0,St. Johns,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,17,55.0,1,0.0,1,1,30,60,90,365,14,0,strict
15,2015.0,0,1.0,1,1,Copperfield,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,19,180.0,0,0.0,1,1,0,0,0,238,0,1,flexible
35,2015.0,0,1.0,1,1,Steiner Ranch,Townhouse,Private room,4,1.0,1.0,1.0,Real Bed,25,59.0,4,15.0,1,1,30,60,90,365,2,0,flexible
36,2013.0,0,1.0,1,0,Steiner Ranch,House,Private room,2,1.0,1.0,1.0,Real Bed,8,155.0,1,0.0,1,1,30,60,90,365,0,0,flexible
37,2015.0,0,301.0,1,1,Steiner Ranch,House,Entire home/apt,10,3.5,4.0,5.0,Real Bed,15,700.0,1,0.0,2,1,22,42,69,340,1,0,strict
38,2015.0,0,301.0,1,1,Steiner Ranch,House,Entire home/apt,12,3.5,4.0,5.0,Real Bed,18,819.0,1,0.0,2,1,25,55,85,351,0,0,strict
40,2012.0,0,1.0,1,1,Steiner Ranch,House,Entire home/apt,8,4.5,4.0,4.0,Real Bed,11,1250.0,10,0.0,3,1,30,60,90,365,6,0,strict
42,2014.0,0,1.0,1,0,Steiner Ranch,Bed & Breakfast,Private room,6,1.0,1.0,2.0,Real Bed,18,300.0,1,0.0,1,1,30,60,90,365,0,0,flexible
43,2015.0,0,1.0,1,0,Steiner Ranch,House,Entire home/apt,8,4.0,4.0,5.0,Real Bed,17,800.0,1,0.0,1,1,0,0,0,134,0,0,flexible
44,2012.0,1,2.0,1,1,Steiner Ranch,House,Private room,2,1.0,1.0,1.0,Real Bed,26,85.0,2,25.0,2,1,25,42,72,341,9,1,strict
45,2014.0,0,1.0,1,0,Steiner Ranch,House,Entire home/apt,8,4.0,4.0,5.0,Real Bed,16,600.0,1,0.0,2,1,21,51,81,356,0,0,moderate
46,2014.0,0,1.0,1,1,Steiner Ranch,House,Entire home/apt,5,2.5,4.0,3.0,Real Bed,16,200.0,1,0.0,1,1,25,44,74,349,1,0,flexible
47,2014.0,0,1.0,1,1,Steiner Ranch,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,21,1000.0,1,0.0,1,1,0,0,0,39,0,1,flexible
49,2015.0,0,301.0,1,1,Steiner Ranch,House,Entire home/apt,8,2.5,3.0,4.0,Real Bed,16,629.0,1,0.0,2,1,21,48,78,353,0,0,strict
51,2015.0,0,301.0,1,1,Steiner Ranch,House,Entire home/apt,8,3.0,3.0,4.0,Real Bed,16,469.0,1,0.0,2,1,15,32,62,323,1,0,strict
53,2015.0,0,1.0,1,1,Steiner Ranch,House,Entire home/apt,16,2.0,4.0,12.0,Real Bed,11,565.0,16,25.0,2,1,23,50,80,352,7,0,strict
55,2015.0,0,1.0,1,0,Steiner Ranch,House,Entire home/apt,7,2.5,4.0,3.0,Real Bed,14,499.0,1,0.0,1,1,30,60,90,365,0,0,flexible
