host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
2011.0,0,1.0,1,0,House,Private room,6,2.5,1.0,3.0,Real Bed,17,300.0,1,0.0,2,1,0,0,0,240,1,0,moderate
2015.0,0,1.0,1,1,Camper/RV,Private room,2,0.0,1.0,1.0,Futon,6,99.0,1,0.0,3,1,29,59,89,364,0,0,moderate
2015.0,0,2.0,1,1,House,Private room,2,1.5,1.0,1.0,Real Bed,18,100.0,1,0.0,1,1,30,60,90,365,0,0,flexible
2015.0,0,2.0,1,1,House,Private room,2,1.5,1.0,1.0,Real Bed,18,100.0,1,0.0,1,1,30,60,90,365,0,0,flexible
2015.0,0,301.0,1,1,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,16,599.0,1,0.0,2,1,27,57,87,358,0,0,strict
2015.0,0,1.0,1,0,House,Private room,2,1.0,1.0,1.0,Real Bed,15,100.0,1,0.0,1,1,30,60,90,365,0,0,flexible
2015.0,0,1.0,1,1,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Futon,5,54.0,2,25.0,1,1,0,0,26,301,0,0,flexible
2014.0,0,1.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,18,40.0,2,10.0,1,1,16,16,37,312,2,1,moderate
2015.0,0,2.0,1,0,House,Private room,6,1.0,1.0,3.0,Real Bed,16,130.0,2,50.0,1,1,29,50,80,355,0,1,flexible
2012.0,1,1.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,16,44.0,2,19.0,1,1,29,59,89,364,20,0,moderate
2015.0,0,1.0,1,0,House,Private room,2,1.0,1.0,1.0,Real Bed,12,99.0,2,0.0,2,1,29,59,89,364,0,0,strict
