iter	Logloss
0	0.6747340279
1	0.6574144531
2	0.6415360563
3	0.6278168306
4	0.6132663286
5	0.5995466763
6	0.5886140234
7	0.5775713716
8	0.5678815868
9	0.5588372237
10	0.5508442085
11	0.5420758646
12	0.5338871414
13	0.5263138399
14	0.5196683135
15	0.5134967576
16	0.5086419674
17	0.5025397644
18	0.4973881374
19	0.4931490422
20	0.4885276824
21	0.4840810075
22	0.4801439608
23	0.4757955704
24	0.4725962579
25	0.4692420058
26	0.4655937728
27	0.4632955607
28	0.4600811329
29	0.4573675056
30	0.4549841119
31	0.4523419158
32	0.4498627407
33	0.447490633
34	0.4455856149
35	0.4435906203
36	0.4421987124
37	0.4402722893
38	0.438351803
39	0.4372103835
40	0.4357566766
41	0.4347691188
42	0.4334191387
43	0.4324323099
44	0.4309734262
45	0.4300134778
46	0.4291496829
47	0.4279330378
48	0.4273685712
49	0.4263380232
50	0.4252689599
51	0.4243541984
52	0.4238467632
53	0.4233353107
54	0.4227685039
55	0.4221248215
56	0.4216044832
57	0.421162209
58	0.4204524252
59	0.4199367926
60	0.4194088578
61	0.4189007014
62	0.4182528737
63	0.4178255423
64	0.4173371951
65	0.416803913
66	0.416423089
67	0.4162070094
68	0.415692827
69	0.41533448
70	0.4148674254
71	0.4145710539
72	0.4143115459
73	0.4140424096
74	0.4137036431
75	0.4134254892
76	0.4131791906
77	0.4128971648
78	0.4126292732
79	0.4123653853
80	0.4121323911
81	0.4119293601
82	0.4117798433
83	0.411675752
84	0.4114161548
85	0.4112524011
86	0.4110686907
87	0.410802864
88	0.4106342224
89	0.410417088
90	0.4102655917
91	0.4101614539
92	0.4099552896
93	0.4098057671
94	0.4096338216
95	0.4095164337
96	0.4093820788
97	0.4092475629
98	0.4091326276
99	0.4089502395
100	0.4088700446
101	0.4087920522
102	0.408716623
103	0.4086463279
104	0.4084994596
105	0.4083805399
106	0.4082635707
107	0.4081781176
108	0.4080555626
109	0.4079552017
110	0.4078893795
111	0.4077449619
112	0.4076663627
113	0.4075794186
114	0.4074796238
115	0.4074153469
116	0.4072194721
117	0.4071275801
118	0.4070306664
119	0.4069033922
120	0.4068191664
121	0.4067290969
122	0.4066723253
123	0.4065974389
124	0.4064430305
125	0.4063339214
126	0.4062578543
127	0.4061864075
128	0.4061174482
129	0.406027179
130	0.4059768871
131	0.4059280279
132	0.4058723207
133	0.4058178447
134	0.4057551111
135	0.4056991868
136	0.4056614179
137	0.4056374362
138	0.4056042779
139	0.4055516341
140	0.4054554533
141	0.4053670415
142	0.405322793
143	0.4052575292
144	0.4051872709
145	0.4051206286
146	0.4050402378
147	0.40499045
148	0.4049107611
149	0.4048555367
150	0.4047944123
151	0.4047403357
152	0.4046761092
153	0.4046150838
154	0.404495406
155	0.4043793869
156	0.4043204631
157	0.4042652911
