iter	Passed	Remaining
0	7	5449
1	13	5163
2	18	4691
3	24	4612
4	29	4464
5	34	4300
6	39	4211
7	46	4328
8	51	4277
9	58	4324
10	62	4226
11	68	4195
12	73	4148
13	77	4095
14	83	4103
15	89	4113
16	94	4085
17	100	4087
18	105	4061
19	110	4042
20	115	4017
21	120	3993
22	125	3965
23	130	3955
24	135	3928
25	140	3906
26	144	3875
27	149	3862
28	155	3854
29	159	3838
30	164	3810
31	169	3795
32	174	3789
33	179	3777
34	184	3769
35	188	3743
36	193	3730
37	197	3709
38	202	3684
39	207	3683
40	212	3672
41	217	3668
42	223	3666
43	229	3676
44	235	3684
45	240	3687
46	246	3691
47	252	3687
48	258	3697
49	264	3698
50	270	3706
51	275	3692
52	280	3693
53	285	3683
54	290	3676
55	296	3670
56	300	3658
57	305	3647
58	311	3646
59	316	3635
60	321	3635
61	329	3652
62	334	3645
63	339	3636
64	344	3633
65	349	3620
66	355	3625
67	361	3625
68	368	3634
69	374	3635
70	379	3630
71	384	3624
72	390	3623
73	396	3621
74	401	3611
75	407	3614
76	412	3608
77	420	3619
78	425	3617
79	431	3617
80	439	3625
81	447	3644
82	453	3641
83	458	3638
84	465	3641
85	471	3637
86	476	3630
87	482	3631
88	489	3634
89	495	3637
90	501	3629
91	508	3634
92	513	3625
93	519	3622
94	525	3624
95	531	3620
96	537	3617
97	543	3613
98	549	3615
99	555	3610
100	560	3604
101	566	3597
102	572	3597
103	578	3593
104	583	3582
105	588	3576
106	594	3570
107	601	3572
108	607	3572
109	613	3571
110	619	3565
111	624	3558
112	631	3560
113	638	3560
114	643	3553
115	650	3556
116	656	3552
117	664	3556
118	669	3550
119	675	3546
120	680	3539
121	687	3539
122	694	3538
123	700	3538
124	706	3534
125	713	3532
126	720	3534
127	726	3531
128	732	3528
129	739	3527
130	745	3523
131	752	3520
132	758	3518
133	765	3517
134	770	3510
135	776	3507
136	784	3508
137	790	3505
138	796	3501
139	802	3497
140	809	3496
141	816	3496
142	823	3493
143	829	3490
144	835	3487
145	842	3484
